           -5114       3	anti-Sigma_b*+          \bar{\Sigma}_{b}^{*-}           
            5122       0	Lambda_b0               \Lambda_{b}^{0}                 
           -5122       0	anti-Lambda_b0          \bar{\Lambda}_{b}^{0}           
            5132      -3	Xi_b-                   \Xi_{b}^{-}                     
           -5132       3	anti-Xi_b+              \bar{\Xi}_{b}^{+}               
            5201       1	bu_0                    (bu)_{0}                        
           -5201      -1	anti-bu_0               \bar{(bu)}_{0}                  
            5203       1	bu_1                    (bu)_{1}                        
           -5203      -1	anti-bu_1               \bar{(bu)}_{1}                  
            5212       0	Sigma_b0                \Sigma_{b}^{0}                  
           -5212       0	anti-Sigma_b0           \bar{\Sigma}_{b}^{0}            
            5214       0	Sigma_b*0               \Sigma_{b}^{*0}                 
           -5214       0	anti-Sigma_b*0          \bar{\Sigma}_{b}^{*0}           
            5222       3	Sigma_b+                \Sigma_{b}^{+}                  
           -5222      -3	anti-Sigma_b-           \bar{\Sigma}_{b}^{+}            
            5224       3	Sigma_b*+               \Sigma_{b}^{*+}                 
           -5224      -3	anti-Sigma_b*-          \bar{\Sigma}_{b}^{*-}           
            5232       0	Xi_b0                   \Xi_{b}^{0}                     
           -5232       0	anti-Xi_b0              \bar{\Xi}_{b}^{0}               
            5301      -2	bs_0                    (bs)_{0}                        
           -5301       2	anti-bs_0               \bar{(bs)}_{0}                  
            5303      -2	bs_1                    (bs)_{1}                        
           -5303       2	anti-bs_1               \bar{(bs)}_{1}                  
            5312      -3	Xi'_b-                  \Xi_{b}^{\prime-}               
           -5312       3	anti-Xi'_b+             \bar{\Xi}_{b}^{\prime+}         
            5314      -3	Xi_b*-                  \Xi_{b}^{*-}                    
           -5314       3	anti-Xi_b*+             \bar{\Xi}_{b}^{*+}              
            5322       0	Xi'_b0                  \Xi_{b}^{\prime0}               
           -5322       0	anti-Xi'_b0             \bar{\Xi}_{b}^{\prime0}         
            5324       0	Xi_b*0                  \Xi_{b}^{*0}                    
           -5324       0	anti-Xi_b*0             \bar{\Xi}_{b}^{*0}              
            5332      -3	Omega_b-                \Omega_{b}^{-}                  
           -5332       3	anti-Omega_b+           \bar{\Omega}_{b}^{+}            
            5334      -3	Omega_b*-               \Omega_{b}^{*-}                 
           -5334       3	anti-Omega_b*+          \bar{\Omega}_{b}^{*+}           
            5401       1	bc_0                    (bc)_{0}                        
           -5401      -1	anti-bc_0               \bar{(bc)}_{0}                  
            5403       1	bc_1                    (bc)_{1}                        
           -5403      -1	anti-bc_1               \bar{(bc)}_{1}                  
            5501      -2	bb_0                    (bb)_{0}                        
           -5501       2	anti-bb_0               \bar{(bs)}_{0}                  
            5503      -2	bb_1                    (bb)_{1}                        
           -5503       2	anti-bb_1               \bar{(bs)}_{1}                  
           10022       0	vpho                    vpho                            
           10111       0	a_00                    a_{0}^{0}                       
           10113       0	b_10                    b_{1}^{0}                       
           10211       3	a_0+                    a_{0}^{+}                       
          -10211      -3	a_0-                    a_{0}^{-}                       
           10213       3	b_1+                    b_{1}^{+}                       
          -10213      -3	b_1-                    b_{1}^{-}                       
           10221       0	f'_0                    f_{0}^{\prime}                  
           10222       0	sigma_0                 \sigma_{0}                      
           10223       0	h_1                     h_{1}(1170)                     
           10311       0	K_0*0                   K_0^{0}                         
          -10311       0	anti-K_0*0              \bar{K}_0^{*0}                  
           10313       0	K_10                    K_1^{0}                         
          -10313       0	anti-K_10               \bar{K}_1^{0}                   
           10315       0	K_20                    K_2^0                           
          -10315       0	anti-K_20               \bar{K}_2^0                     
           10321       3	K_0*+                   K_{0}^{*+}                      
          -10321      -3	K_0*-                   K_{0}^{*-}                      
           10323       3	K_1+                    K_1^{+}                         
          -10323      -3	K_1-                    K_{1}^{-}                       
           10325       3	K_2+                    K_2^+                           
          -10325      -3	K_2-                    K_2^-                           
           10331       0	f_0(1710)               f_{0}(1710)                     
           10333       0	h'_1                    h_{1}(1380)                     
           10335       0	eta2(1870)              \eta_{2}(1870)                  
           10411       3	D_0*+                   D_{0}^{*+}                      
          -10411      -3	D_0*-                   D_{0}^{*-}                      
